,userId,movieId,rating,timestamp
5954604,122380,31445,2.5,1159967140
1460784,22380,56775,4,1343936580
6631832,104339,356,2.5,1111529397
5396407,64877,6874,4,1513800297
8150654,63164,2762,5,1005315064
8920330,78757,4589,4,1235978612
8950743,79382,72733,4,1533846266
6838436,35374,7090,0.5,1244267382
4806124,88427,1196,5,1567006070
2062392,134456,2355,4,975263808
7451130,140578,4305,4,996276271
6846098,47294,1794,4,962334192
887597,22027,1663,3,1130020311
3373677,13083,8874,5,1166390488
6322138,80252,1870,4,1041432512
5714009,126367,8528,3,1550432317
7261016,121148,7149,4.5,1367649709
7317150,31556,2395,3.5,1118689088
7945365,18791,316,4,841535314
2462932,61325,2916,4,1002173579
6731729,89497,37741,4.5,1569732117
2446543,130306,2683,3,1111531596
891135,110099,68358,4.5,1312561613
6083830,156918,48516,5,1225647448
8350158,138348,5298,5,1432638444
2164490,55828,1731,1.5,1080798187
5187058,151793,79897,3.5,1299939655
5209056,37774,103042,3,1391968185
3360858,157703,2026,3,1048423702
5036669,66026,2001,4,973376215
4611395,81356,3,3.5,1086011197
4828014,156461,256,3,840478357
8096997,78648,6378,2.5,1189537439
2277195,54568,2720,3,945892300
4518498,73058,1356,5,850803842
9294737,54213,1367,3,1294034701
1920489,56820,2617,3.5,1072047208
4849576,85684,1265,4,1228898193
7235512,21475,72378,3,1472982610
8745693,134109,3190,2,1240089963
2052553,96562,81591,3,1312082875
5806285,38614,356,2.5,1466464340
9839399,37297,6539,4,1424883477
5958815,111024,164179,3.5,1498556954
7441511,3623,420,2,1025110544
3579706,130346,116823,3.5,1462021146
458184,78842,1235,3.5,1088537614
8715152,110622,83760,3,1299687742
3267963,129289,610,5,832236782
4327973,36053,5419,2,1230931314
1322856,131167,1625,4,1294508396
9555610,105510,1517,2,945114440
6747199,7082,162082,3.5,1553622631
3652210,74898,2085,4.5,1351618993
9894731,114123,5991,2,1447205135
7178642,139304,539,3,840203279
7408820,79869,102445,3.5,1488332880
8040133,118448,497,4.5,1216424350
6664589,75090,4009,4,1079933698
9903811,160476,26776,4,1440882718
3449566,150517,2467,4,942247874
5537301,106356,33004,0.5,1555437560
2030042,136374,1036,5,974850748
8401799,96423,51903,1.5,1200930053
9595469,25331,2707,5,1014431428
7327490,151289,8958,4,1160425693
5981713,60270,356,4.5,1515879679
555576,138382,4016,4.5,1509252584
4929641,16783,4306,3.5,1497642501
6531320,142177,470,3,841736660
7116081,84315,345,4,1241839771
4952066,43837,1394,4,1171255882
1200709,62008,1250,5,1498858923
8272613,54367,104944,4,1512913125
1684161,17012,2762,2.5,1171626729
3840138,90348,182715,3.5,1542548032
7062063,24517,111,4,1043553929
8471266,92330,5417,5,1045539616
4999427,132976,2291,2,1462047595
1799525,41786,33166,5,1358282028
6911637,73875,2001,2,1038760749
8518646,34672,2640,4,1129736749
2520606,129243,7348,2,1078965807
2804780,130013,8636,4,1093012161
7970568,84884,110591,3.5,1485359978
7188140,23125,2075,4,1050705767
6117974,132315,1457,3,1029971519
4226827,146772,32,2.5,1245599807
8004200,118892,500,5,845236813
8813257,126250,32,4,940711775
4045606,123361,3087,3,1040343894
9812884,108175,2140,3,1043133010
1155500,23057,6659,3.5,1455294469
2750320,86986,5630,4.5,1487243471
1015931,98421,2116,4,1010623642
6460989,17559,1396,3,1061869965
9951477,78843,4975,3,1335177950
1750619,91518,112852,3,1459140106
9865168,47881,30883,2,1106691182
6862778,96408,95558,4.5,1393200404
3545013,67121,5464,3.5,1079966551
3445550,115900,456,4,1446957061
2983956,62524,3089,4,1469896267
2939231,136805,3783,4,1346561905
3766560,26575,46972,3.5,1177955103
5736707,19024,54286,4,1572588823
9394451,20857,40819,3,1185238406
3213108,58655,6874,4.5,1451508379
2131247,155104,2176,5,1312555817
4525055,65370,784,3,835692393
8755750,158728,1276,3.5,1209496462
9330727,98415,34150,1,1231299884
7398335,159328,1464,4,1307858189
5146716,71363,1982,1.5,1223443050
1279533,95452,7394,3.5,1081557950
8312025,5376,1875,4,956637661
4612786,68867,2879,2,945990234
5135884,22359,280,3,833100785
3364739,64495,2953,3,945241502
2625142,85095,112804,5,1495463003
5193140,64861,4036,3,1510481532
8789280,128656,170117,3,1532131597
9829416,40464,59369,4.5,1554189058
205002,33832,71535,3,1438097792
4048722,26197,372,4,1037622681
5487033,30578,1393,3,938955727
6810318,133621,216,4.5,1063158875
563498,16459,904,4,1435680845
5912619,9057,954,5,1039406128
4166567,101352,89774,5,1331296475
2886930,108596,1834,3.5,1115087025
9552843,99090,5481,2,1487920537
7432029,86113,592,4.5,1131427148
2523024,55560,592,3,845228772
7787625,139793,2502,1,1132776838
2353493,1881,68157,5,1372037879
1777923,95012,296,5,996480747
8488617,21123,3914,4,1462150303
7953744,121477,163691,3,1523627066
6225459,21815,4735,0.5,1416601090
7153065,113250,5477,4,1145377840
994659,33367,2279,2,1281083543
2916510,131745,2688,3,1037051912
2335198,87675,6993,3.5,1105910052
7967020,119369,1500,2,1090511728
6193011,54852,527,5,845294734
2834783,153286,3033,2.5,1523107243
9080262,119226,1210,4,1478284435
6126146,110566,1097,4,994994755
8856986,70745,104913,3,1491521048
7287459,123477,2161,1.5,1112587130
5598259,112070,529,5,841750300
8285258,11691,81537,3.5,1447860184
6802767,140057,6365,2,1533311948
300180,140742,539,3,1246620781
7931223,142296,953,4,1079897578
231262,40164,2683,4,1098369533
8602222,7403,1389,2,1126166871
3969419,102005,3744,2,1008904943
4604669,12,2087,2.5,1119355484
5388076,160454,2248,3,1475348107
3861152,61799,4370,4,1122159289
4803017,26842,118696,4.5,1550637342
3360302,30659,1480,3,945155623
3805580,91598,5669,5,1039973463
7188213,104265,3526,4,1078240911
4578348,120572,55820,4.5,1549306828
1740318,46053,592,3,1083773690
7971970,142538,4848,1,1439796245
5698860,19766,5954,4,1080532985
122391,61624,104879,4,1447013372
2039755,147760,55247,5,1329237559
1029910,76284,1247,5,1066189295
5510719,43289,7458,3.5,1212278163
7842255,3992,31685,3.5,1505057635
1207037,74962,116797,5,1486404374
4310662,35029,3274,3,1078760072
9349962,59779,5218,3.5,1141597667
8516076,96456,589,5,858632151
7957702,86762,2012,2.5,1108072642
9144252,158997,1923,3,1484946648
9295629,30509,2301,3.5,1506741808
7157378,51742,5013,3.5,1114789050
3193296,121323,2023,4,1284563533
9853606,114157,2580,3,1211935898
5394397,149880,21,4,942153333
5252470,86786,5909,5,1231286494
6714763,2901,1234,5,1034979693
8526787,95434,223,5,1164657785
3411547,106472,8866,2.5,1559392905
6797513,106614,8376,3,1237761880
9607588,124928,30812,3,1444502758
8966993,39913,364,5,1378056080
1323359,150559,2375,4.5,1081399484
3492959,106607,1226,1,954202594
9156851,83798,2723,2.5,1282608699
3129545,153648,588,3,839834676
5633184,70199,3341,4,1334778841
5720342,103134,1651,2,881512955
782198,95085,552,5,844001852
4438892,63019,159131,0.5,1510515527
5854166,33210,71520,2.5,1310569261
8543377,113245,80489,2.5,1286204426
9893576,32845,6155,3.5,1451508930
2075311,131211,76093,5,1445275743
90151,5215,2959,3,1544017283
9170797,57844,474,4,983929491
4457324,110503,1228,5,1455760892
8957290,85722,111921,3.5,1414298498
8277033,59940,2324,2,962834445
9109283,151406,32031,3,1351149227
2771884,35618,96610,4,1506190865
4989964,30111,4471,1,1035768085
1715989,54627,48774,3,1561905498
9485820,133076,1221,5,1387361864
5434782,38520,91500,5,1529741125
5138299,140198,367,2.5,1183642736
6964543,91140,4814,2.5,1118678314
8628145,36735,1682,4.5,1417293842
9677440,12899,485,4.5,1196505643
3708074,94302,1225,5,977274332
7642632,57791,32,5,953579683
5989400,134372,8368,4.5,1525707810
7249151,107437,4623,3.5,1223057919
1295128,33844,142448,2.5,1491784498
8865669,85773,110,3,847797595
4745647,103819,2000,4,1143694937
661625,26711,316,4,977506674
7511651,3911,203,5,1197670479
9998124,141320,2712,3,1006408531
2288533,50978,69069,3.5,1533498528
3324058,25778,377,2,869638081
6437669,33198,4748,1,1562040939
5325312,109075,33794,1.5,1156679120
5538699,137991,67255,2,1246539498
8431038,61836,586,2,940556437
6824946,131347,435,2,1119322486
4984927,52457,8961,4.5,1271645399
9075912,146137,1961,4,1147363280
9260320,152321,1094,5,1043550918
6866690,53583,805,4.5,1563452902
8406880,33723,780,3,1220919714
5850654,133268,45722,1,1214442384
38464,93796,21,3,846921376
7536591,126670,930,3,938806687
702944,11985,2581,1,1036897833
1648939,46964,59315,3,1453924202
6580557,142998,105,0.5,1057860802
5452500,60791,2423,4,1201404643
5247929,55499,2716,3,1130018130
4453032,30257,2572,1,1332014513
8976841,3981,2572,4,966187923
2136699,138012,119145,4,1478758445
3165175,46007,3948,3,1437285720
788027,28895,6936,0.5,1461053614
6969649,20086,3147,3.5,1226971469
8584966,77919,593,4,1386858884
6228154,112263,3386,4,979000047
2892971,35874,673,3,1564684671
3348423,141022,800,4.5,1351896491
6552379,30930,575,3,832180835
8270107,160122,68941,5,1433419426
510730,70435,54272,5,1470591634
1833927,53009,357,3,1215550233
1249942,11587,3098,4,1298517672
1229631,15032,3489,3,955855988
5774274,83244,59315,5,1461602547
8355677,158456,81562,3.5,1358785110
6984296,64476,6377,4.5,1534908509
77064,121343,3481,2,1484358513
3855852,119434,900,4,846340892
8360031,17193,5900,1,1082953683
6403120,85371,2014,3,944951024
496249,11491,136443,2,1507321396
7858088,1712,1241,4,958171625
139364,84504,46578,5,1286089179
3724656,58249,151,3.5,1456650269
396375,11396,1580,4,1021878436
1373551,15435,122904,3.5,1467782705
9396154,139185,1012,3,941832345
8854686,128243,101142,2,1494887168
9733831,35620,159817,5,1481854486
1777468,10651,3173,3,1095461002
2571873,110602,216,1,839223107
2114838,47745,5418,3.5,1140763510
5902111,108925,64614,3.5,1549575138
9792556,4591,5995,5,1547312124
5379635,19122,1202,4.5,1569080003
5666400,159439,1385,3,974340651
8269613,111730,828,3,845200113
6049901,160863,891,3,1488366628
7935130,7372,172,3,834057882
8062677,7145,51935,4.5,1472749571
5175454,131984,34150,1,1284920832
5314416,149129,587,5,1432474631
9519955,69289,3186,3,991869910
7730040,122276,236,3,831837540
1199186,104004,2571,4,1440962016
3134081,48262,338,5,1383637686
3121263,152813,48780,4.5,1438206055
4672913,32886,50068,4.5,1334593935
5273319,107737,1163,3,951965899
4846886,1133,2724,3,962987999
8738757,41798,2324,4.5,1545082160
1541995,159057,64969,3.5,1444856055
7978936,18317,4306,2.5,1428400809
9564072,118803,3409,4,974148031
1955513,139024,122926,4,1509678717
3023500,46542,6156,4,1052446860
2645584,84105,145,3.5,1192668189
7184447,139917,7451,4.5,1469064303
3429101,117988,4069,3,1083347755
2313425,118653,1089,5,1450104090
8248273,67157,4901,3,1190525068
9681171,148490,904,5,1471198515
3615060,26768,2617,5,1498427999
5051802,65797,1961,4,1559432558
2602884,48861,6541,4.5,1227494333
1675819,98816,435,4.5,1175109276
227201,88574,81845,4.5,1465189791
376217,43996,5459,3.5,1055410615
6885804,48092,6188,4,1532215789
583410,102232,105844,5,1442497916
2344400,55164,91797,2,1524352030
9696835,114743,157,2.5,1112703223
3713924,121893,541,5,1535399637
4325274,135276,122926,4,1510077812
4181348,20995,105,5,842529342
9850311,93855,85020,2,1300871982
8358521,52109,80219,4.5,1444843785
6604516,19518,1079,4.5,1221425975
8205981,48277,1129,4,1049821923
5669960,6747,2393,2,997991720
8914806,31720,174585,0.5,1531230382
9314209,11602,356,4.5,1390179014
3755084,134213,32031,3.5,1500072543
4280474,91640,5096,3,1060819011
4693452,131511,1704,4.5,1360955560
311127,44654,4720,4,1111347368
3816700,127206,1721,3,1494383007
3184827,46147,173925,5,1515889740
7432484,34429,1270,5,965437523
5900794,30945,2096,2,987633211
9956189,125514,656,3,1246812425
5009900,128952,355,1.5,1344192029
2520946,101821,68135,2.5,1245169507
4510311,29791,3037,3.5,1366703062
6324880,86737,6957,3.5,1243346809
1788718,141319,4957,3,1315403537
636852,73431,1359,3,857140110
5966718,14205,4322,4,1104644449
3599664,37155,2420,3,947748307
9624333,40527,1221,4,897061541
2575914,58300,6535,1,1209247729
6323524,93495,4343,4,1511692879
6519086,85036,45662,3.5,1510629089
5201827,69571,1242,5,1333264045
9624378,85587,832,4,848143104
9004336,51323,2294,2.5,1060002918
9215803,64130,592,3,842348157
670481,83310,1090,4,1236009981
8445412,10197,1129,2.5,1144718197
7907318,1963,168250,5,1517560245
3953814,123946,6366,3.5,1056825465
8894514,84074,597,4,834649119
3049287,94882,106696,4,1406655442
9106336,22859,4545,2.5,1106429915
4383698,83847,1201,3,1075486028
6191664,54218,60069,2.5,1331332385
9614753,118458,163,3,843387601
4897052,59650,3507,4,1151510644
948154,108436,4963,3.5,1206848062
130392,40504,7147,3,1078016310
5212753,67792,4337,5,1070593223
7503219,140581,111781,3.5,1538850923
979513,26743,2959,3,1541441549
9431398,24993,1777,3.5,1203025735
8541382,101400,3758,1,974705872
205040,127682,1917,2,1082359193
1479417,28678,1653,4,1262219261
772183,152152,2771,3.5,1107858439
8809603,25836,8368,5,1455382729
2340497,27125,1441,3,997939334
6824988,149830,7360,4,1321041191
7305219,156387,95201,2.5,1418560890
7288588,77540,51935,2.5,1534760991
2246014,5290,380,4,836824266
7308184,93173,1487,3,968308838
3575113,57423,553,4,945022261
217465,134930,70,3,940806515
6582136,154041,68358,3,1501347781
4163981,96104,60069,4,1245799696
3989776,95174,6377,4,1160095929
272397,103155,595,3,949706177
1134440,106861,1097,4,982361460
5715356,129826,368,4,920040929
4666311,59381,2965,0.5,1107630878
1317826,154302,88140,4,1352682802
215903,141625,169864,2.5,1519843339
2596553,44621,84392,3.5,1483379018
2279328,129846,223,5,944179382
5146504,20278,4995,4,1310597931
3258287,85609,2124,3,970965594
3294316,59569,475,4,899204720
3728424,104975,4011,4.5,1111491930
4980173,123344,1748,4,1114104554
277191,98873,71108,5,1477841887
9039501,87244,912,4,1016154432
9376843,134627,55052,4,1498206686
6359065,51680,520,4,1495369642
2163150,86352,648,2.5,1190550262
6320215,41940,78653,4,1526635254
6413755,58198,80241,2,1358046624
